planned_run,run_id,condition,feature_id,requested_ids,passed_ids,pass_percent
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-012,2,2,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-013,2,1,50.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-014,2,2,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-015,1,0,0.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-016,3,2,66.66666666666667
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-017,2,1,50.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-018,3,3,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-019,3,3,100.0
normal-003,cf27fbcf-5851-4bb9-8d56-b0fb385878e7,normal,F-020,4,2,50.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-001,4,4,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-002,4,3,75.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-003,2,1,50.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-004,3,1,33.333333333333336
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-005,2,2,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-006,6,6,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-007,3,3,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-008,4,3,75.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-009,2,2,100.0
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-010,3,2,66.66666666666667
normal-004,833a4f06-b9c0-4a95-a03e-65dea5922e72,normal,F-011,2,1,50.0
